model,use_rag,scope,label,f1,precision,recall,BLEU,ROUGE1_F1,ROUGEL_F1,BERTScore_F1
codellama:13b,True,overall,ALL,0.014223088290547841,0.01379174133780182,0.02180851063829787,0.0053278152547557535,0.12367630480681219,0.08474779937099508,0.8214198350906372
codellama:13b,True,subcategory,"""functional""",0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,"""solution approach""",0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,'code organization',0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,'deprecated code',0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,'functional',0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,'functional'.,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,'logical',0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,'logical'.,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,'resource',0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,"'resource', 'timing'",0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,'solution approach',0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,'validation',0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,** 'functional',0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,** 'interface',0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,** <one of the 17 subcategories>,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,** code organization,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,** functional,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,** logging,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,** resource,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,`functional`,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,`functional`.,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,alternate output,0.0,0.0,0.0,0.004624766906647649,0.15039705207931037,0.1011172499859456,0.8446752429008484
codellama:13b,True,subcategory,code organization,0.15873015873015872,0.11627906976744186,0.25,0.004686366110451099,0.15466688800121314,0.11326671448054684,0.8212901949882507
codellama:13b,True,subcategory,design discussion,0.0,0.0,0.0,0.004762015345333987,0.12970961392014022,0.10154324479982374,0.8381503224372864
codellama:13b,True,subcategory,documentation,0.06896551724137931,0.2,0.041666666666666664,0.00605507432042211,0.11432653282311529,0.07440246814597457,0.824718713760376
codellama:13b,True,subcategory,false positive,0.0,0.0,0.0,0.0025483242539464587,0.06631452318460193,0.04584208223972003,0.8126929402351379
codellama:13b,True,subcategory,function,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,functional,0.0,0.0,0.0,0.006159905789318918,0.13222208259087048,0.09291503360640213,0.8304286003112793
codellama:13b,True,subcategory,functional.,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,functionality,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,indentation,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,interface,0.0,0.0,0.0,0.005079682358198154,0.10466673953362196,0.0722284388894879,0.8250821828842163
codellama:13b,True,subcategory,logical,0.0,0.0,0.0,0.004197280030533271,0.16506618243132562,0.10691438382871102,0.8322292566299438
codellama:13b,True,subcategory,praise,0.0,0.0,0.0,0.00615037402732817,0.043344882753128526,0.03061946651894036,0.8008173108100891
codellama:13b,True,subcategory,question,0.0,0.0,0.0,0.0036393480653489066,0.09345506243014047,0.0673503099016247,0.8162147998809814
codellama:13b,True,subcategory,resource,0.3157894736842105,0.21428571428571427,0.6,0.004766738686344118,0.11274095469747643,0.08119662945749903,0.8439527750015259
codellama:13b,True,subcategory,solution approach,0.0,0.0,0.0,0.008516764094876788,0.15879778601890673,0.10761991834963572,0.8225446343421936
codellama:13b,True,subcategory,support issues,0.0,0.0,0.0,0.004595379130543586,0.13122877472352287,0.07873022152411874,0.8160862922668457
codellama:13b,True,subcategory,syntax error,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,syntax sugar,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,technical,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,timing,0.0,0.0,0.0,0.011221396358887284,0.21099726493029208,0.11221236903533256,0.8103126287460327
codellama:13b,True,subcategory,unknown,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,unused code,0.0,0.0,0.0,,,,
codellama:13b,True,subcategory,validation,0.125,0.11764705882352941,0.13333333333333333,0.005690635678928533,0.1693060157239112,0.10922048998066305,0.8283936977386475
codellama:13b,True,subcategory,variable naming,0.0,0.0,0.0,0.004233804923650188,0.12340355240252104,0.09235961967749515,0.8209008574485779
codellama:13b,True,subcategory,visual representation,0.0,0.0,0.0,0.003098926219386999,0.06218386395229347,0.044604653281461695,0.8093022704124451
codellama:13b,True,category,discussion,0.0,0.0,0.0,0.004275594162787469,0.08727571673556395,0.06366731605310001,0.8155155777931213
codellama:13b,True,category,documentation,0.06896551724137931,0.2,0.041666666666666664,0.00605507432042211,0.11432653282311529,0.07440246814597457,0.824718713760376
codellama:13b,True,category,false positive,0.0,0.0,0.0,0.0025483242539464587,0.06631452318460193,0.04584208223972003,0.8126929402351379
codellama:13b,True,category,functional,0.06296992481203008,0.04741896758703481,0.10476190476190475,0.00589554793889846,0.15416572143425886,0.10009707919888944,0.8276268243789673
codellama:13b,True,category,refactoring,0.031746031746031744,0.023255813953488372,0.05,0.005623964566508206,0.13501397576151272,0.09443468797609607,0.8210977911949158
codellama:13b,False,overall,ALL,0.013249370534790327,0.027116085668717246,0.023674242424242428,0.004968433371513964,0.11874516872315809,0.08242165259383304,0.8192981481552124
codellama:13b,False,subcategory,"""code organization""",0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,'code organization',0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,'functional',0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,"'functional', 'logical', or 'validation'.",0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,'logical',0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,'resource',0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,'solution approach',0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,'validation',0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,'validation'.,0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,'variable naming',0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,* validation,0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,** code organization,0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,** resource,0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,** technical,0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,`functional`,0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,`variable naming`,0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,algorithm,0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,alternate output,0.0,0.0,0.0,0.0044598600972017115,0.11875620084569008,0.08109889754676586,0.8348577618598938
codellama:13b,False,subcategory,code organization,0.06896551724137931,0.05263157894736842,0.1,0.0054165495009103354,0.18402218834348302,0.12980235178259766,0.8270747065544128
codellama:13b,False,subcategory,coding conventions,0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,coding practices,0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,control flow,0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,design discussion,0.0,0.0,0.0,0.006117957701389219,0.14690113721047507,0.09247775362131279,0.8356683850288391
codellama:13b,False,subcategory,documentation,0.07407407407407407,0.3333333333333333,0.041666666666666664,0.0056182777884414906,0.10339247273983133,0.07103165865254489,0.8182244896888733
codellama:13b,False,subcategory,false positive,0.0,0.0,0.0,0.0034841418565941945,0.07617032392894461,0.05331318107180176,0.8195083737373352
codellama:13b,False,subcategory,function call,0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,functional,0.1,0.05714285714285714,0.4,0.00338596040305724,0.11385381532891044,0.08007767325436763,0.822895884513855
codellama:13b,False,subcategory,"i would categorize this review as ""code organization"" because the code is well-structured and easy to read, but there are some areas where it could benefit from further refinement. specifically, the `mask_token` parameter and related logic could be moved out of the `__init__` method and into a separate function or class that handles masking-related tasks. additionally, the code could benefit from more detailed docstrings to provide context for users who may not be familiar with this codebase.",0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,interface,0.0,0.0,0.0,0.0038866376555779397,0.11144076767163295,0.06958674166430469,0.8149267435073853
codellama:13b,False,subcategory,logical,0.0,0.0,0.0,0.003034482486632445,0.12761599173827926,0.08296605520764928,0.8250012397766113
codellama:13b,False,subcategory,logical error,0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,performance,0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,praise,0.0,0.0,0.0,0.0015640774901395731,0.04274533030513891,0.03476920993232433,0.7933433651924133
codellama:13b,False,subcategory,question,0.0,0.0,0.0,0.002832028992364201,0.08192555408062678,0.05952033406029793,0.8127499222755432
codellama:13b,False,subcategory,resource,0.19047619047619047,0.125,0.4,0.01456948609602211,0.1675562685643331,0.13153162588646458,0.8472385406494141
codellama:13b,False,subcategory,solution approach,0.0625,0.5,0.03333333333333333,0.006369495376611846,0.1398355729035482,0.09576255739149135,0.8184776306152344
codellama:13b,False,subcategory,"solution approach. the code provides a solution to the issue with `pretrainedconfig` being deprecated in favor of `pretrainedconfig`. by modifying the metaclass, the snippet ensures that `isinstance` and `issubclass` checks for `pretrainedconfig` return true as well for instances/classes of `pretrainedconfig`.",0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,support issues,0.0,0.0,0.0,0.004670150380924759,0.11729075303957197,0.08374409288788293,0.8103778958320618
codellama:13b,False,subcategory,"this pull request is in the ""functional"" subcategory because it modifies the functionality of an existing method. the code in this pull request adds new functionality by generating a default config for the `get_config()` method, which was not previously part of the `__new__` method.",0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,timing,0.0,0.0,0.0,0.003493085517158917,0.16811378636119642,0.08937628809416297,0.8038569688796997
codellama:13b,False,subcategory,unknown,0.0,0.0,0.0,,,,
codellama:13b,False,subcategory,validation,0.0,0.0,0.0,0.007738852457733153,0.1578966991265814,0.10333234349136101,0.8224099278450012
codellama:13b,False,subcategory,variable naming,0.08695652173913043,0.125,0.06666666666666667,0.006098699963318893,0.13516974392877115,0.1010663866996844,0.8286378383636475
codellama:13b,False,subcategory,visual representation,0.0,0.0,0.0,0.004067152343562455,0.06712026620281736,0.04993898128697866,0.81904137134552
codellama:13b,False,category,discussion,0.0,0.0,0.0,0.002938845765136038,0.08116390662226981,0.05814037391137904,0.811343252658844
codellama:13b,False,category,documentation,0.07407407407407407,0.3333333333333333,0.041666666666666664,0.0056182777884414906,0.10339247273983133,0.07103165865254489,0.8182244896888733
codellama:13b,False,category,false positive,0.0,0.0,0.0,0.0034841418565941945,0.07617032392894461,0.05331318107180176,0.8195083737373352
codellama:13b,False,category,functional,0.041496598639455776,0.026020408163265306,0.1142857142857143,0.005724488619709406,0.14237057414902943,0.09554533473469462,0.822327733039856
codellama:13b,False,category,refactoring,0.04368440779610195,0.13552631578947366,0.04,0.00572581622750175,0.13576251169607842,0.09520626157014864,0.822903037071228
codestral:22b,True,overall,ALL,0.0,0.0,0.0,0.005308432354497914,0.14723203490745596,0.09478930222148314,0.826073169708252
codestral:22b,True,subcategory,'validation',0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** 'code organization',0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,"** 'code organization', 'functional'",0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** 'documentation',0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** 'functional',0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** 'functional' and 'documentation',0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** 'functional' and 'validation'.,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** 'functional' and 'visual representation'.,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** 'logical',0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** 'logical' and 'code organization',0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** 'resource',0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,"** 'resource' and 'functional'. although the 'resource' subcategory primarily focuses on memory or cpu usage, in this context, it also refers to other system resources like disk space and network bandwidth. the 'functional' subcategory is applicable because the test ensures that the function behaves as intended.",0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,"** 'resource', 'timing', 'solution approach'",0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** 'support issues',0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** 'validation',0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** 'variable naming' and 'solution approach'.,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** code organization,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** documentation,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** documentation & functional,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** documentation (specifically for missing clarification),0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** error handling & validation,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** exception handling & validation,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** functional,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** functional & solution approach,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** functional & validation,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** functional (as this review is about the correctness and efficiency of the code),0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** functional (code organization),0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** functional (specifically code organization),0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** functional (specifically related to the correct functionality of the software),0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,"** functional (specifically, input validation)",0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,"** functional (specifically, type hint)",0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** functional and variable naming,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,"** functional, solution approach, documentation",0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** logical,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** logical & functional,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** logical (since the review comment is focusing on the logical correctness of adding a new test case),0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** logical (since the test is not providing a necessary input),0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,"** logical (specifically, unclear logic)",0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** logical (the function is testing for the wrong exception type.),0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** resource,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,"** resource, validation, solution approach",0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** security & privacy,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** solution approach,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** solution approach & validation,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** support issues,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,"** support issues (specifically, handling potential warnings)",0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** validation,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** validation & error handling,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** validation and functional,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** variable naming,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,** visual representation,0.0,0.0,0.0,,,,
codestral:22b,True,subcategory,alternate output,0.0,0.0,0.0,0.004435902518307981,0.1589827142402653,0.10073491143800706,0.849460244178772
codestral:22b,True,subcategory,code organization,0.0,0.0,0.0,0.008397460170213176,0.22343026148074144,0.1423866044431666,0.8354250192642212
codestral:22b,True,subcategory,design discussion,0.0,0.0,0.0,0.005736385419764583,0.154472140654086,0.11174898120253786,0.8456839919090271
codestral:22b,True,subcategory,documentation,0.0,0.0,0.0,0.005411381599195356,0.14027941172115088,0.09004962972899984,0.8242408633232117
codestral:22b,True,subcategory,false positive,0.0,0.0,0.0,0.003124134315618274,0.07178733994825949,0.05312637128729082,0.8224526643753052
codestral:22b,True,subcategory,functional,0.0,0.0,0.0,0.0094376454337663,0.15697943210300055,0.1007807377233269,0.8346723318099976
codestral:22b,True,subcategory,interface,0.0,0.0,0.0,0.003506316765486977,0.148345913505006,0.08806020443587682,0.8325284123420715
codestral:22b,True,subcategory,logical,0.0,0.0,0.0,0.004824037716883287,0.1905153500681729,0.12391231038270686,0.837706446647644
codestral:22b,True,subcategory,praise,0.0,0.0,0.0,0.006567929877343756,0.06436586852845272,0.048462008751523795,0.8084142804145813
codestral:22b,True,subcategory,question,0.0,0.0,0.0,0.0043608730033641825,0.12022418656482683,0.08146691639470509,0.8182457089424133
codestral:22b,True,subcategory,resource,0.0,0.0,0.0,0.0037763802468353375,0.14364992261150977,0.0936833674275633,0.8411410450935364
codestral:22b,True,subcategory,solution approach,0.0,0.0,0.0,0.006069340454010324,0.16945489411745826,0.10179198329891986,0.8258019685745239
codestral:22b,True,subcategory,support issues,0.0,0.0,0.0,0.0032694976565221853,0.13175254427789926,0.08304543226787986,0.8229019641876221
codestral:22b,True,subcategory,timing,0.0,0.0,0.0,0.0061076053502177865,0.19014536296485937,0.12300257447175995,0.8158095479011536
codestral:22b,True,subcategory,validation,0.0,0.0,0.0,0.004710476691476351,0.17937189963398942,0.09937013096836095,0.826650083065033
codestral:22b,True,subcategory,variable naming,0.0,0.0,0.0,0.004721681667330357,0.13798413490405942,0.09536251706499324,0.8252609372138977
codestral:22b,True,subcategory,visual representation,0.0,0.0,0.0,0.0032869031989009247,0.08782912527317652,0.06410905683038894,0.8214089870452881
codestral:22b,True,category,discussion,0.0,0.0,0.0,0.004963293375811919,0.11265096853029793,0.07810836833492736,0.8192917108535767
codestral:22b,True,category,documentation,0.0,0.0,0.0,0.005411381599195356,0.14027941172115088,0.09004962972899984,0.8242408633232117
codestral:22b,True,category,false positive,0.0,0.0,0.0,0.003124134315618274,0.07178733994825949,0.05312637128729082,0.8224526643753052
codestral:22b,True,category,functional,0.0,0.0,0.0,0.005045456296555288,0.17032770461933436,0.10438271891505703,0.8305418491363525
codestral:22b,True,category,refactoring,0.0,0.0,0.0,0.005787444450543564,0.16219251740793114,0.10363652114631504,0.8285117149353027
codestral:22b,False,overall,ALL,0.0,0.0,0.0,0.004887108001563351,0.14874371259806501,0.094843405001473,0.8258830308914185
codestral:22b,False,subcategory,'functional',0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** 'code organization',0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** 'documentation',0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** 'functional',0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** 'functional' (as the code is working correctly but could be optimized),0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** 'functional' and 'validation',0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** 'resource',0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** 'solution approach',0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** 'support issues',0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** 'validation',0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** 'variable naming',0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** alternate output / user feedback,0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** code organization,0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** documentation,0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** functional,0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** functional (as the behavior inside `__eq__` breaks the expected functionality of this method),0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** functional (code organization),0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** functional (focusing on how well the code performs its intended function),0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** functional (incorrect usage of function),0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** functional (particularly edge case handling),0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** functional (since it relates to how the function works),0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** functional (since this change may have unexpected side-effects in different environments),0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** functional (specifically related to the correct use of functions and their return values),0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,"** functional (specifically, lack of clarity in code functionality)",0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,"** functional (specifically, usage of libraries)",0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** functional (the change in code functionality),0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** functional and validation,0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** logical,0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** logical (as this addition might not be necessary for the current function but could serve a purpose in other parts of the codebase),0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** logical (as this is a logical inconsistency in the code),0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** logical (since changing the data structure could lead to logical errors),0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,"** logical (specifically, related to how the code performs boolean indexing)",0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,"** logical (specifically, unnecessary complexity)",0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** resource,0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** resource (as the review is focused on a potential resource leak due to incorrect configuration management),0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** resource (specifically computational cost),0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** solution approach,0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** solution approach (specifically the approach of handling multiple types of callables),0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** support issues,0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** timing and solution approach,0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** validation,0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** validation & error handling,0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** validation (logical subcategory),0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** validation and error handling,0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,** variable naming,0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,alternate output,0.0,0.0,0.0,0.006480470928269139,0.18731930558324036,0.11154235310437118,0.8570966720581055
codestral:22b,False,subcategory,code organization,0.0,0.0,0.0,0.006577471476338198,0.22107595882165,0.14548362932839326,0.8337194323539734
codestral:22b,False,subcategory,design discussion,0.0,0.0,0.0,0.0035922521060661222,0.1367145302510316,0.09242156731347621,0.8452181220054626
codestral:22b,False,subcategory,documentation,0.0,0.0,0.0,0.005041071146903175,0.1440140765002131,0.09647352639617372,0.8236729502677917
codestral:22b,False,subcategory,false positive,0.0,0.0,0.0,0.005642725782870173,0.07548891159690035,0.05056038100799241,0.8196462392807007
codestral:22b,False,subcategory,functional,0.0,0.0,0.0,0.006768946439352599,0.14777636916835699,0.09279918864097363,0.835394561290741
codestral:22b,False,subcategory,functional (the code works but can be improved for efficiency or readability),0.0,0.0,0.0,,,,
codestral:22b,False,subcategory,interface,0.0,0.0,0.0,0.005619903346178321,0.17141219941103875,0.10702063993087221,0.8295489549636841
codestral:22b,False,subcategory,logical,0.0,0.0,0.0,0.005513561276837993,0.18107586428788444,0.11247869850296752,0.8350254893302917
codestral:22b,False,subcategory,praise,0.0,0.0,0.0,0.001953224033734565,0.06164020861594575,0.042275882625113725,0.8026151657104492
codestral:22b,False,subcategory,question,0.0,0.0,0.0,0.004292897425066763,0.12289324773233867,0.08107544731794258,0.8210922479629517
codestral:22b,False,subcategory,resource,0.0,0.0,0.0,0.0116671315743159,0.17734203822857897,0.12288789073824076,0.8568891286849976
codestral:22b,False,subcategory,solution approach,0.0,0.0,0.0,0.004771162111702791,0.16323132726345194,0.09805093952712739,0.8232232332229614
codestral:22b,False,subcategory,support issues,0.0,0.0,0.0,0.0028932477257727954,0.10322569260019139,0.07228349481757661,0.8105775713920593
codestral:22b,False,subcategory,timing,0.0,0.0,0.0,0.005271912471087237,0.23472977650851345,0.14229355114066608,0.8225781321525574
codestral:22b,False,subcategory,validation,0.0,0.0,0.0,0.005223314148409454,0.17994486355212136,0.1059391939158272,0.8308566212654114
